zip_code	MSA_number	MSA_name
68036	99027	NE NONMETROPOLITAN AREA
68037	36540	Omaha-Council Bluffs, NE-IA MSA
68038	99027	NE NONMETROPOLITAN AREA
68039	99027	NE NONMETROPOLITAN AREA
68040	36540	Omaha-Council Bluffs, NE-IA MSA
68041	36540	Omaha-Council Bluffs, NE-IA MSA
68042	36540	Omaha-Council Bluffs, NE-IA MSA
68044	99027	NE NONMETROPOLITAN AREA
68045	99027	NE NONMETROPOLITAN AREA
68046	36540	Omaha-Council Bluffs, NE-IA MSA
68047	99027	NE NONMETROPOLITAN AREA
68048	36540	Omaha-Council Bluffs, NE-IA MSA
68050	36540	Omaha-Council Bluffs, NE-IA MSA
68054	36540	Omaha-Council Bluffs, NE-IA MSA
68055	99027	NE NONMETROPOLITAN AREA
68056	36540	Omaha-Council Bluffs, NE-IA MSA
68057	99027	NE NONMETROPOLITAN AREA
68058	36540	Omaha-Council Bluffs, NE-IA MSA
68059	36540	Omaha-Council Bluffs, NE-IA MSA
68061	99027	NE NONMETROPOLITAN AREA
68062	99027	NE NONMETROPOLITAN AREA
68063	99027	NE NONMETROPOLITAN AREA
68064	36540	Omaha-Council Bluffs, NE-IA MSA
68065	36540	Omaha-Council Bluffs, NE-IA MSA
68066	36540	Omaha-Council Bluffs, NE-IA MSA
68067	99027	NE NONMETROPOLITAN AREA
68068	36540	Omaha-Council Bluffs, NE-IA MSA
68069	36540	Omaha-Council Bluffs, NE-IA MSA
68070	36540	Omaha-Council Bluffs, NE-IA MSA
68071	99027	NE NONMETROPOLITAN AREA
68072	99027	NE NONMETROPOLITAN AREA
68073	36540	Omaha-Council Bluffs, NE-IA MSA
68101	36540	Omaha-Council Bluffs, NE-IA MSA
68102	36540	Omaha-Council Bluffs, NE-IA MSA
68103	36540	Omaha-Council Bluffs, NE-IA MSA
68104	36540	Omaha-Council Bluffs, NE-IA MSA
68105	36540	Omaha-Council Bluffs, NE-IA MSA
68106	36540	Omaha-Council Bluffs, NE-IA MSA
68107	36540	Omaha-Council Bluffs, NE-IA MSA
68108	36540	Omaha-Council Bluffs, NE-IA MSA
68109	36540	Omaha-Council Bluffs, NE-IA MSA
68110	36540	Omaha-Council Bluffs, NE-IA MSA
68111	36540	Omaha-Council Bluffs, NE-IA MSA
68112	36540	Omaha-Council Bluffs, NE-IA MSA
68113	36540	Omaha-Council Bluffs, NE-IA MSA
68114	36540	Omaha-Council Bluffs, NE-IA MSA
68116	36540	Omaha-Council Bluffs, NE-IA MSA
68117	36540	Omaha-Council Bluffs, NE-IA MSA
68118	36540	Omaha-Council Bluffs, NE-IA MSA
68119	36540	Omaha-Council Bluffs, NE-IA MSA
68120	36540	Omaha-Council Bluffs, NE-IA MSA
68122	36540	Omaha-Council Bluffs, NE-IA MSA
68123	36540	Omaha-Council Bluffs, NE-IA MSA
68124	36540	Omaha-Council Bluffs, NE-IA MSA
68127	36540	Omaha-Council Bluffs, NE-IA MSA
68128	36540	Omaha-Council Bluffs, NE-IA MSA
68130	36540	Omaha-Council Bluffs, NE-IA MSA
68131	36540	Omaha-Council Bluffs, NE-IA MSA
68132	36540	Omaha-Council Bluffs, NE-IA MSA
68133	36540	Omaha-Council Bluffs, NE-IA MSA
68134	36540	Omaha-Council Bluffs, NE-IA MSA
68135	36540	Omaha-Council Bluffs, NE-IA MSA
68136	36540	Omaha-Council Bluffs, NE-IA MSA
68137	36540	Omaha-Council Bluffs, NE-IA MSA
68138	36540	Omaha-Council Bluffs, NE-IA MSA
68139	36540	Omaha-Council Bluffs, NE-IA MSA
68142	36540	Omaha-Council Bluffs, NE-IA MSA
68144	36540	Omaha-Council Bluffs, NE-IA MSA
68145	36540	Omaha-Council Bluffs, NE-IA MSA
68147	36540	Omaha-Council Bluffs, NE-IA MSA
68152	36540	Omaha-Council Bluffs, NE-IA MSA
68154	36540	Omaha-Council Bluffs, NE-IA MSA
68155	36540	Omaha-Council Bluffs, NE-IA MSA
68157	36540	Omaha-Council Bluffs, NE-IA MSA
68164	36540	Omaha-Council Bluffs, NE-IA MSA
